dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,BERT_pytorch,4,pass,538,1,5,4
cuda,Background_Matting,4,eager_variation,0,0,0,0
cuda,LearningToPaint,4,pass,71,1,5,4
cuda,Super_SloMo,4,pass,374,1,5,4
cuda,alexnet,4,eager_variation,0,0,0,0
cuda,attention_is_all_you_need_pytorch,4,pass,548,1,5,4
cuda,dcgan,4,pass,13,1,5,4
cuda,demucs,4,pass,83,4,7,5
cuda,densenet121,4,pass,431,1,5,4
cuda,detectron2_fcos_r_50_fpn,0,0.0000
cuda,dlrm,4,pass,36,1,4,3
cuda,doctr_det_predictor,0,0.0000
cuda,doctr_reco_predictor,0,0.0000
cuda,drq,1,pass,30,2,4,3
cuda,fastNLP_Bert,4,pass,435,5,9,6
cuda,functorch_dp_cifar10,4,pass,69,1,5,4
cuda,hf_Albert,4,pass,433,4,7,5
cuda,hf_Bart,4,pass,642,9,15,7
cuda,hf_Bert,4,pass,363,3,7,4
cuda,hf_Bert_large,4,pass,711,3,7,4
cuda,hf_BigBird,4,eager_variation,0,0,0,0
cuda,hf_DistilBert,4,pass,203,1,4,3
cuda,hf_GPT2,2,pass,647,1,4,3
cuda,hf_GPT2_large,4,pass_due_to_skip,0,0,0,0
cuda,hf_Longformer,4,eager_variation,0,0,0,0
cuda,hf_Reformer,4,pass,499,18,46,9
cuda,hf_T5,4,pass,785,7,12,4
cuda,hf_T5_base,0,0.0000
cuda,hf_T5_large,4,pass_due_to_skip,0,0,0,0
cuda,lennard_jones,4,pass,9,1,5,4
cuda,mnasnet1_0,4,pass,152,1,5,4
cuda,mobilenet_v2,4,pass,153,1,5,4
cuda,mobilenet_v2_quantized_qat,4,fail_to_run,203,1,3,2
cuda,mobilenet_v3_large,4,eager_variation,0,0,0,0
cuda,moco,4,eager_variation,0,0,0,0
cuda,nvidia_deeprecommender,4,pass,13,1,5,4
cuda,phlippe_densenet,4,pass,186,1,5,4
cuda,phlippe_resnet,4,pass,71,1,5,4
cuda,pytorch_CycleGAN_and_pix2pix,1,pass,91,1,5,4
cuda,pytorch_stargan,16,pass,56,1,5,4
cuda,pytorch_struct,200,pass,41,1,5,4
cuda,pytorch_unet,2,pass,71,1,5,4
cuda,resnet152,4,pass,515,1,5,4
cuda,resnet18,4,pass,69,1,5,4
cuda,resnet50,4,pass,175,1,5,4
cuda,resnet50_quantized_qat,4,fail_to_run,163,1,3,2
cuda,resnext50_32x4d,4,pass,175,1,5,4
cuda,shufflenet_v2_x1_0,4,pass,271,1,5,4
cuda,soft_actor_critic,256,pass,17,2,4,3
cuda,speech_transformer,4,pass,749,9,14,6
cuda,squeezenet1_1,4,pass,66,1,5,4
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,4,pass,1511,1,6,5
cuda,timm_efficientnet,4,pass,313,1,5,4
cuda,timm_nfnet,4,pass,615,1,5,4
cuda,timm_regnet,4,pass,458,1,5,4
cuda,timm_resnest,4,pass,148,1,5,4
cuda,timm_vision_transformer,4,pass,373,1,5,4
cuda,timm_vision_transformer_large,4,pass_due_to_skip,0,0,0,0
cuda,timm_vovnet,4,eager_variation,0,0,0,0
cuda,torchrec_dlrm,0,0.0000
cuda,tts_angular,4,pass,2,1,6,5
cuda,vgg16,4,eager_variation,0,0,0,0
cuda,vision_maskrcnn,4,eager_variation,0,0,0,0
cuda,yolov3,4,eager_variation,0,0,0,0
