dev,name,batch_size,total_aot_graphs,ok_aot_graphs
cuda,AlbertForMaskedLM,2,1,1
cuda,AlbertForQuestionAnswering,2,1,1
cuda,AllenaiLongformerBase,1,4,3
cuda,BartForCausalLM,2,1,1
cuda,BartForConditionalGeneration,1,17,16
cuda,BertForMaskedLM,64,1,1
cuda,BertForQuestionAnswering,64,1,1
cuda,BigBird,1,64,52
cuda,BlenderbotSmallForCausalLM,64,1,1
cuda,BlenderbotSmallForConditionalGeneration,32,12,12
cuda,CamemBert,1,1,1
cuda,DebertaForMaskedLM,4,111,111
cuda,DebertaForQuestionAnswering,4,111,111
cuda,DebertaV2ForMaskedLM,1,163,163
cuda,DebertaV2ForQuestionAnswering,1,163,163
cuda,DistilBertForMaskedLM,16,1,1
cuda,DistilBertForQuestionAnswering,32,1,1
cuda,DistillGPT2,1,1,1
cuda,ElectraForCausalLM,1,1,1
cuda,ElectraForQuestionAnswering,64,1,1
cuda,GPT2ForSequenceClassification,4,2,2
cuda,LayoutLMForMaskedLM,16,1,1
cuda,LayoutLMForSequenceClassification,16,2,2
cuda,M2M100ForConditionalGeneration,2,20,20
cuda,MBartForCausalLM,16,1,1
cuda,MBartForConditionalGeneration,8,17,16
cuda,MT5ForConditionalGeneration,2,45,45
cuda,MegatronBertForCausalLM,2,1,1
cuda,MegatronBertForQuestionAnswering,8,1,1
cuda,MobileBertForMaskedLM,16,1,1
cuda,MobileBertForQuestionAnswering,32,1,1
cuda,OPTForCausalLM,4,1,1
cuda,PLBartForCausalLM,16,1,1
cuda,PLBartForConditionalGeneration,8,11,10
cuda,PegasusForCausalLM,8,4,3
cuda,PegasusForConditionalGeneration,4,20,18
cuda,RobertaForCausalLM,4,1,1
cuda,RobertaForQuestionAnswering,64,1,1
cuda,Speech2Text2ForCausalLM,64,4,4
cuda,T5ForConditionalGeneration,4,35,35
cuda,T5Small,1,35,35
cuda,TrOCRForCausalLM,8,1,1
cuda,XGLMForCausalLM,1,4,3
cuda,XLNetLMHeadModel,4,1,1
cuda,YituTechConvBert,1,1,1
