suite,name,issue,08-19,08-20,08-21
torchbench,BERT_pytorch,,pass,pass,pass
torchbench,Background_Matting,,pass,pass,pass
torchbench,LearningToPaint,,pass,pass,pass
torchbench,Super_SloMo,,aot,aot,aot
torchbench,alexnet,,pass,pass,pass
torchbench,attention_is_all_you_need_pytorch,,pass,pass,pass
torchbench,dcgan,,pass,pass,pass
torchbench,demucs,,aot,aot,aot
torchbench,densenet121,,pass,pass,pass
torchbench,detectron2_maskrcnn,,aot,aot,aot
torchbench,dlrm,,aot,aot,aot
torchbench,drq,,pass,pass,pass
torchbench,fambench_xlmr,,aot,aot,aot
torchbench,fastNLP_Bert,,pass,pass,pass
torchbench,hf_Albert,,pass,pass,pass
torchbench,hf_Bart,,pass,pass,pass
torchbench,hf_Bert,,pass,pass,pass
torchbench,hf_BigBird,,inductor,inductor,inductor
torchbench,hf_DistilBert,,inductor,inductor,inductor
torchbench,hf_GPT2,,pass,pass,pass
torchbench,hf_Longformer,,pass,pass,pass
torchbench,hf_Reformer,,aot,aot,aot
torchbench,hf_T5,,inductor,inductor,inductor
torchbench,maml,,aot,aot,aot
torchbench,maml_omniglot,,pass,pass,pass
torchbench,mnasnet1_0,,pass,pass,pass
torchbench,mobilenet_v2,,pass,pass,pass
torchbench,mobilenet_v2_quantized_qat,,aot,aot,aot
torchbench,mobilenet_v3_large,,pass,pass,pass
torchbench,moco,,inductor,inductor,inductor
torchbench,nvidia_deeprecommender,,pass,pass,pass
torchbench,opacus_cifar10,,aot,aot,aot
torchbench,pyhpc_equation_of_state,,aot,aot,aot
torchbench,pyhpc_isoneutral_mixing,,aot,aot,aot
torchbench,pyhpc_turbulent_kinetic_energy,,aot,aot,aot
torchbench,pytorch_CycleGAN_and_pix2pix,,pass,pass,pass
torchbench,pytorch_stargan,,pass,pass,pass
torchbench,pytorch_struct,,pass,pass,pass
torchbench,pytorch_unet,,pass,pass,pass
torchbench,resnet18,,pass,pass,pass
torchbench,resnet50,,pass,pass,pass
torchbench,resnet50_quantized_qat,,aot,aot,aot
torchbench,resnext50_32x4d,,pass,pass,pass
torchbench,shufflenet_v2_x1_0,,pass,pass,pass
torchbench,soft_actor_critic,,pass,pass,pass
torchbench,speech_transformer,,inductor,inductor,inductor
torchbench,squeezenet1_1,,pass,pass,pass
torchbench,tacotron2,,aot,aot,aot
torchbench,timm_efficientdet,,inductor,pass,pass
torchbench,timm_efficientnet,,pass,pass,pass
torchbench,timm_nfnet,,pass,pass,pass
torchbench,timm_regnet,,pass,pass,pass
torchbench,timm_resnest,,pass,pass,pass
torchbench,timm_vision_transformer,,pass,pass,pass
torchbench,timm_vovnet,,pass,pass,pass
torchbench,tts_angular,,inductor,inductor,inductor
torchbench,vgg16,,pass,pass,pass
torchbench,vision_maskrcnn,,aot,aot,aot
torchbench,yolov3,,aot,aot,aot
huggingface,AlbertForMaskedLM,,pass,pass,pass
huggingface,AlbertForQuestionAnswering,,pass,pass,pass
huggingface,AllenaiLongformerBase,,pass,pass,pass
huggingface,BartForCausalLM,,pass,pass,pass
huggingface,BartForConditionalGeneration,,inductor,pass,pass
huggingface,BertForMaskedLM,,pass,pass,pass
huggingface,BertForQuestionAnswering,,pass,pass,pass
huggingface,BigBird,,inductor,inductor,inductor
huggingface,BlenderbotSmallForCausalLM,,pass,pass,pass
huggingface,BlenderbotSmallForConditionalGeneration,,pass,pass,pass
huggingface,CamemBert,,inductor,inductor,inductor
huggingface,DebertaForMaskedLM,,pass,pass,pass
huggingface,DebertaForQuestionAnswering,,inductor,inductor,inductor
huggingface,DebertaV2ForMaskedLM,,inductor,inductor,inductor
huggingface,DebertaV2ForQuestionAnswering,,inductor,inductor,inductor
huggingface,DistilBertForMaskedLM,,inductor,inductor,inductor
huggingface,DistilBertForQuestionAnswering,,inductor,inductor,inductor
huggingface,DistillGPT2,,pass,pass,pass
huggingface,ElectraForCausalLM,,pass,pass,pass
huggingface,ElectraForQuestionAnswering,,pass,pass,pass
huggingface,GPT2ForSequenceClassification,,pass,pass,pass
huggingface,GPTNeoForCausalLM,,aot,aot,aot
huggingface,GPTNeoForSequenceClassification,,aot,aot,aot
huggingface,GoogleFnet,,aot,aot,aot
huggingface,LayoutLMForMaskedLM,,pass,pass,pass
huggingface,LayoutLMForSequenceClassification,,pass,pass,pass
huggingface,M2M100ForConditionalGeneration,,pass,pass,pass
huggingface,MBartForCausalLM,,pass,pass,pass
huggingface,MBartForConditionalGeneration,,pass,pass,pass
huggingface,MT5ForConditionalGeneration,,pass,pass,pass
huggingface,MegatronBertForCausalLM,,pass,pass,pass
huggingface,MegatronBertForQuestionAnswering,,pass,pass,pass
huggingface,MobileBertForMaskedLM,,pass,pass,pass
huggingface,MobileBertForQuestionAnswering,,pass,pass,pass
huggingface,OPTForCausalLM,,inductor,inductor,inductor
huggingface,PLBartForCausalLM,,pass,pass,pass
huggingface,PLBartForConditionalGeneration,,pass,pass,pass
huggingface,PegasusForCausalLM,,pass,pass,pass
huggingface,PegasusForConditionalGeneration,,pass,pass,pass
huggingface,RobertaForCausalLM,,pass,pass,pass
huggingface,RobertaForQuestionAnswering,,pass,pass,pass
huggingface,Speech2Text2ForCausalLM,,pass,pass,pass
huggingface,T5ForConditionalGeneration,,pass,pass,pass
huggingface,T5Small,,pass,pass,pass
huggingface,TrOCRForCausalLM,,pass,pass,pass
huggingface,XGLMForCausalLM,,pass,pass,pass
huggingface,XLNetLMHeadModel,,pass,pass,pass
huggingface,YituTechConvBert,,pass,pass,pass
timm_models,adv_inception_v3,,pass,pass,pass
timm_models,beit_base_patch16_224,,pass,pass,pass
timm_models,botnet26t_256,,pass,pass,pass
timm_models,cait_m36_384,,pass,pass,pass
timm_models,coat_lite_mini,,pass,pass,pass
timm_models,convit_base,,aot,aot,aot
timm_models,convmixer_768_32,,pass,pass,pass
timm_models,convnext_base,,pass,pass,pass
timm_models,crossvit_9_240,,pass,pass,pass
timm_models,cspdarknet53,,pass,pass,pass
timm_models,deit_base_distilled_patch16_224,,pass,pass,pass
timm_models,densenet121,,pass,pass,pass
timm_models,dla102,,pass,pass,pass
timm_models,dm_nfnet_f0,,pass,pass,pass
timm_models,dpn107,,pass,pass,pass
timm_models,eca_botnext26ts_256,,pass,pass,pass
timm_models,eca_halonext26ts,,pass,pass,pass
timm_models,ecaresnet101d,,pass,pass,pass
timm_models,ese_vovnet19b_dw,,pass,pass,pass
timm_models,fbnetc_100,,pass,pass,pass
timm_models,fbnetv3_b,,pass,pass,pass
timm_models,gernet_l,,pass,pass,pass
timm_models,ghostnet_100,,pass,pass,pass
timm_models,gluon_inception_v3,,pass,pass,pass
timm_models,gluon_senet154,,pass,pass,pass
timm_models,gluon_xception65,,pass,pass,pass
timm_models,gmixer_24_224,,pass,pass,pass
timm_models,gmlp_s16_224,,pass,pass,pass
timm_models,hardcorenas_a,,pass,pass,pass
timm_models,hrnet_w18,,pass,pass,pass
timm_models,inception_v3,,pass,pass,pass
timm_models,jx_nest_base,,inductor,pass,pass
timm_models,lcnet_050,,pass,pass,pass
timm_models,legacy_senet154,,pass,pass,pass
timm_models,levit_128,,inductor,aot,aot
timm_models,mixer_b16_224,,pass,pass,pass
timm_models,mixnet_l,,pass,pass,pass
timm_models,mnasnet_100,,pass,pass,pass
timm_models,mobilenetv2_100,,pass,pass,pass
timm_models,mobilenetv3_large_100,,pass,pass,pass
timm_models,mobilevit_s,,pass,pass,pass
timm_models,nasnetalarge,,inductor,pass,pass
timm_models,nfnet_l0,,pass,pass,pass
timm_models,pit_b_224,,pass,pass,pass
timm_models,pnasnet5large,,inductor,pass,pass
timm_models,poolformer_m36,,pass,pass,pass
timm_models,regnety_002,,pass,pass,pass
timm_models,repvgg_a2,,pass,pass,pass
timm_models,res2net101_26w_4s,,pass,pass,pass
timm_models,res2net50_14w_8s,,pass,pass,pass
timm_models,res2next50,,pass,pass,pass
timm_models,resmlp_12_224,,pass,pass,pass
timm_models,resnest101e,,pass,pass,pass
timm_models,resnet18,,pass,pass,pass
timm_models,rexnet_100,,pass,pass,pass
timm_models,sebotnet33ts_256,,pass,pass,pass
timm_models,selecsls42b,,pass,pass,pass
timm_models,spnasnet_100,,pass,pass,pass
timm_models,swin_base_patch4_window7_224,,inductor,pass,pass
timm_models,swsl_resnext101_32x16d,,pass,pass,pass
timm_models,tf_efficientnet_b0,,pass,pass,pass
timm_models,tf_mixnet_l,,pass,pass,pass
timm_models,tinynet_a,,pass,pass,pass
timm_models,tnt_s_patch16_224,,pass,pass,pass
timm_models,twins_pcpvt_base,,pass,pass,pass
timm_models,visformer_small,,pass,pass,pass
timm_models,vit_base_patch16_224,,pass,pass,pass
timm_models,volo_d1_224,,inductor,pass,pass
timm_models,xcit_large_24_p8_224,,aot,aot,aot
